,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
adj_126,0.05230716831145889,0.4590024191860303,0.031192927770205325,0.06646809012974655,0.04100007587919614,0.05876517977363267,0.0010000577467696053,0.1767461639931344,0.011002544907073121,0.10251537230275302
adj_127,0.4797521358102898,0.23115852639315942,0.06432966501549209,0.019625944594982646,0.0009345794413999645,0.020288339385835085,0.05842704530959431,0.11424818872402237,0.0009345805487460541,0.010300994776478275
adj_128,0.15691013226494294,0.21809096964294808,0.010183038826515087,0.07205680279871271,0.010185057887200196,0.024824022398414084,0.03805143365682437,0.17636456118134358,0.010179336105354752,0.28315464523774425
adj_129,0.195995231110458,0.4628480267924451,0.02797450243048069,0.022897301634528813,0.02058776635790794,0.07043204784029616,0.08009067282268267,0.1000221449859163,0.0008695804347685702,0.018282725590515865
adj_130,0.0539410910705706,0.44178940896878305,0.05213890050395975,0.057470673160085244,0.01134001379464649,0.061303603687902754,0.023462534144915382,0.18226696874343198,0.001030927966471739,0.11525587795923302
adj_131,0.15078727469527045,0.1990143040492039,0.013038916747959777,0.052657594652467686,0.000925925927962308,0.022165564834994895,0.04448204117222556,0.18639649200402283,0.010186006888425742,0.3203458790274669
adj_132,0.08975748385440789,0.446526328296657,0.0535226650265087,0.058193972686812694,0.01145815167496383,0.047382879032751624,0.001041701823136734,0.18440120496904688,0.011480075355021982,0.09623553728069284
adj_133,0.06679862043410788,0.4645213124171928,0.042593402908879606,0.08052859469391085,0.021649389655228186,0.03396441937812097,0.0010309715008764192,0.18222970622709314,0.001030927967495357,0.10565265481709474
adj_134,0.2018885318230869,0.45410095760434543,0.02135594995454974,0.01430630683988907,0.009592262567698368,0.07389918348861454,0.08284394569272106,0.09673182253913819,0.0008695793412145362,0.04441146014874215
adj_135,0.37338052912110525,0.19736032438269707,0.1310465692335875,0.08658061981867023,0.041074386030998035,0.05544869406337959,0.0010000467960838545,0.06181587639074979,0.02099910264562437,0.0312938515171044
adj_136,0.19002814143095942,0.47355515252271135,0.00998267260580514,0.033796285445230174,0.009848902146817579,0.0781748460413861,0.06709410530113456,0.09770241025855937,0.0008928757931934994,0.03892460845420283
adj_137,0.07001409163560256,0.4238371872447482,0.028708194007254533,0.05377319251310456,0.039422849615050375,0.04632808093151433,0.011922780338161153,0.21879043244220098,0.0009618759562997209,0.10624131531606353
adj_138,0.28755679036712484,0.20841133340124957,0.01255553898704283,0.0010639761203005583,0.012339674796302408,0.0010638667698367808,0.38732073927319327,0.06540844940501184,0.012043666596885562,0.012235964283052354
adj_139,0.31420493525828574,0.19452068043169338,0.0121142189747339,0.001000130956913858,0.011588405633506226,0.0010001959856255611,0.3909424132837626,0.04127339930911019,0.011312659190996839,0.022042960975371752
adj_140,0.4320620648823871,0.22316251368824813,0.019370895376709444,0.0115889421462004,0.019960574057353582,0.010084044586439207,0.18426198000195368,0.06628205688427531,0.0009174334849016262,0.032309494891531544
adj_141,0.43005848570441696,0.2178737280763861,0.0009346098979506485,0.022902484145553473,0.02062603010221126,0.010309430716777014,0.16729097071717328,0.10509304042427992,0.010337187509157995,0.014574032706093205
adj_142,0.4465889942011773,0.2034893674870759,0.015638824929739493,0.022766875256828724,0.01962558642888014,0.019654119890682963,0.1769207135290812,0.0724272080209291,0.0009345829243626761,0.02195372733124248
adj_143,0.2722003231284029,0.16487577411767962,0.02924613844085493,0.10198342867727184,0.01018423638989014,0.09351710206280242,0.013751039296437341,0.12350303705096154,0.15223651867151503,0.038502402164184275
