,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
sample_107,0.004761924968462836,0.004761904780348672,0.9571405533649715,0.004762726711827361,0.004762040565372025,0.004762150031371335,0.004762220954159156,0.004762121561611614,0.004762419532788872,0.004761937529086727
sample_108,0.02501387023953429,0.02500220867829717,0.33347608321118016,0.02500138215606336,0.025000000028515157,0.02500000003258091,0.025000825111092303,0.46650563048115484,0.025000000023527487,0.025000000038054377
sample_109,0.050000000014802336,0.050000000012802276,0.050000000009701326,0.050007767973718815,0.050000000023881296,0.0500000000273118,0.5499922318633629,0.050000000022885224,0.0500000000197191,0.050000000031814824
sample_110,0.03333333334319503,0.03333333334186313,0.03333333333980055,0.03333333334919253,0.03333333334925193,0.03333333335151174,0.3666664849941479,0.033333333348601155,0.36666684822789136,0.033333333354544685
sample_111,0.03333333333711424,0.0333333333366028,0.03333333333580931,0.03333333333941363,0.033333333339433925,0.03333333334030327,0.6999999999523125,0.03333333333917871,0.03333333333836761,0.033333333341464065
sample_112,0.008333333335989951,0.008333333335628858,0.008333584462691829,0.008333333337600743,0.7433924135582999,0.008334380756013282,0.18993906209012493,0.008333426812508316,0.008333798972100072,0.008333333339042286
sample_113,0.011111111124975946,0.01111111112313085,0.494396920372207,0.011111111133384699,0.011111111133481621,0.011111490891437552,0.3056033310935062,0.1222215908574004,0.011111111129569976,0.011111111140905789
sample_114,0.03333333333750847,0.03333421141888729,0.03333333333606407,0.033333333340033,0.6999958217179998,0.03333333334101935,0.03333439480159012,0.03333333333977789,0.033335572024826475,0.033333333342293506
sample_115,0.8499999999432445,0.01666666667059481,0.016666666669647067,0.016666666673970116,0.016666666674005643,0.016666666675041197,0.016666666670642653,0.016666666673698264,0.01666666667271566,0.01666666667644014
sample_116,0.005001145865112465,0.005001451900891856,0.005000391887698273,0.005000040087997465,0.06642294527707321,0.005000020896756566,0.8935716004740117,0.005001017147753378,0.005001386457515818,0.0050000000051892545
sample_117,0.006666722569682726,0.006666883000562675,0.391177321987084,0.15548580061688577,0.006666666680638034,0.4066643485440997,0.0066695008575514214,0.006669422380007213,0.00666666667819935,0.006666666685289082
sample_118,0.02000000001134552,0.02000000000980433,0.020009914143706377,0.592310943272341,0.24767810247605482,0.02000104001986202,0.020000000009913806,0.020000000017520697,0.02000000001508755,0.020000000024364094
sample_119,0.03333333334468602,0.03333333334315362,0.699993463353532,0.033333333351589896,0.03333333335165798,0.03333333335425908,0.03333653115683555,0.03333333335088633,0.0333366720356643,0.03333333335773523
sample_120,0.03333333333725456,0.03333333333674868,0.03334334389355385,0.699989989395496,0.033333333339673935,0.03333333334056333,0.03333333333676617,0.0333333333396084,0.033333333338571414,0.03333333334176375
sample_121,0.01666666667847244,0.016666666673810043,0.0166692021873089,0.016666666679925807,0.016666666679961882,0.18333239469274004,0.01666798431985305,0.016670348530035413,0.6833267368733411,0.01666666668455133
sample_122,0.025000000006998906,0.02500000000605314,0.025000000004591395,0.02500000001126114,0.0250044690258865,0.7749955309038613,0.02500000000613002,0.025000000010832614,0.025000000009333837,0.02500000001505118
sample_123,0.05000000000581836,0.05000000000503915,0.05000399569122562,0.050000000009492625,0.05000000000940161,0.05000000001072677,0.5499960042390218,0.05000000000900776,0.05000000000775293,0.0500000000125135
sample_124,0.03333333334243904,0.03333333334120686,0.699999999882342,0.03333333334796802,0.03333333334803649,0.03333333335012137,0.03333333334130708,0.033333333348211966,0.03333333334545985,0.0333333333529073
sample_125,0.016666666684802475,0.016666666682348997,0.01666666667855976,0.18333372367401063,0.016666666695934716,0.016667618392634743,0.5166573144861525,0.18333353925816587,0.01667447074171178,0.016666666705678578
sample_126,0.01250000000786504,0.012500000006372905,0.27431583916341484,0.5006738879846903,0.012502279027014262,0.13749954183321866,0.012502814781360653,0.012500000011390155,0.012504653266138624,0.012500983918534693
sample_127,0.02500000001330571,0.025000000011506485,0.02500297993386928,0.025000000021393923,0.025000000021522015,0.02500000002452726,0.025000000011644485,0.525000306141256,0.2749967137923576,0.025000000028617346
sample_128,0.02000000002054041,0.21999881469755697,0.020000000013455123,0.02000000003303875,0.020000000033151156,0.22000022439111175,0.02000000001796862,0.020000000031753652,0.42000096071726495,0.020000000044158712
sample_129,0.012500000013647983,0.012500000205698325,0.6290742413451037,0.14195649416596587,0.012500819246027152,0.01250666244277594,0.14144113896485505,0.012517843638398198,0.012502799948301448,0.012500000029226322
sample_130,0.5499999997346624,0.05000000001835902,0.050000000013960565,0.050000000034184124,0.0500000000342841,0.05000000003914972,0.05000000001857795,0.05000000003284969,0.05000000002832039,0.05000000004565213
sample_131,0.05000000000335875,0.050000000002904554,0.050009758251217125,0.05000000000734147,0.05000000000542638,0.05000000000618822,0.5499782569386533,0.0500000000052504,0.05001198477244399,0.050000000007215877
sample_132,0.011111111114151867,0.01111135685368433,0.01111159548383362,0.011111111115992701,0.8999974573363219,0.011111429283746185,0.0111111111137657,0.011111123041759699,0.011112593539052563,0.011111111117691386
sample_133,0.44767733687708416,0.020010555559768425,0.020005138845332775,0.39229169116483203,0.02000567973543497,0.020000000025502257,0.02000959772250226,0.02000000002138927,0.020000000018423742,0.02000000002973017
sample_134,0.6999999998824527,0.033333333341470296,0.03333333333951379,0.03333333334845246,0.0333333333485182,0.033333333350686896,0.033333333341564825,0.03333333334789334,0.0333333333458726,0.03333333335357494
sample_135,0.03333333334292314,0.3666665056211779,0.03333333333963415,0.36666130710327566,0.03333333334885312,0.03333333335101849,0.033333333341732885,0.03333333334816891,0.03333885384925166,0.03333333335396419
sample_136,0.020000000025895092,0.020000000022374308,0.02000000001696014,0.020000000041589493,0.020000000041754267,0.02000000004767277,0.6177028103376283,0.22229509876315443,0.020001391732595044,0.020000698970376287
sample_137,0.02500000001085263,0.2749999798190219,0.0250074058323871,0.02500112135012118,0.02500495242540684,0.025000000018340515,0.5249651986207725,0.025000000015397764,0.025021341886300383,0.025000000021399273
sample_138,0.033333333348487655,0.03333333334643399,0.033333333343271924,0.0333333333576978,0.6999999998200482,0.03333333336124335,0.0333333333465911,0.03333333335676763,0.03333333335352683,0.0333333333659315
sample_139,0.008333333337033934,0.008333333336532567,0.008335781026297341,0.8416641319993954,0.008333916578225263,0.09166569164386615,0.008333333336572405,0.008333333339062873,0.00833381206173163,0.008333333341282364
sample_140,0.6434174424550583,0.012500000012040026,0.01250209132145375,0.01250000002244179,0.012500000022467034,0.012500000025643856,0.012500000012186024,0.1315815515106546,0.13749891458813623,0.012500000029918598
sample_141,0.050000000022294135,0.5499999997189294,0.0500000000146059,0.050000000035790505,0.050000000035903804,0.05000000004102789,0.05000000001947675,0.05000000003444905,0.05000000002963064,0.050000000047892
sample_142,0.06070674859007893,0.4650641440614508,0.29805256360933147,0.0050010031975898876,0.005000000026289822,0.005000000029966742,0.1461705248890773,0.005000000025110837,0.0050050155362097665,0.005000000034894489
sample_144,0.033333333345512736,0.033333333343870376,0.033338727668522965,0.033333333352918416,0.033333333353003404,0.033333333355776505,0.3666668053343689,0.03333333335218323,0.03333333334956112,0.3666611335442824
sample_145,0.3666671036696688,0.03333333336933869,0.3666662291708855,0.033333333400252387,0.0333333334005364,0.03333333341013606,0.033333333369781455,0.03333333339770839,0.03333333338886553,0.03333333342282671
sample_146,0.37045203483322137,0.002702726819355407,0.14953151432185596,0.002702845822524193,0.08912473942091231,0.0027028244288376,0.002703331309750521,0.0027027028148097075,0.3746745775200103,0.0027027027087226894
sample_147,0.02500000000576071,0.025000000004967098,0.3389068827267947,0.02500531628993316,0.02500000000923724,0.025002223860053546,0.46108288776808465,0.025000000008868938,0.025002689313128625,0.025000000013171417
sample_148,0.5857124783258031,0.014285714291280208,0.014287843081792097,0.014285714296065257,0.2999996785077995,0.014285714297571106,0.014285714310186706,0.014285714295672615,0.014285714294288602,0.014285714299540883
sample_149,0.016666666674593197,0.016666880973543904,0.01666865328911659,0.016666666679410035,0.6833333321288079,0.016666666681266974,0.016666666673604953,0.01666666668331338,0.18333113353264344,0.016666666683699788
sample_150,0.2749921373498971,0.02500181978000921,0.025000000003147557,0.025001138610790098,0.02500000000774277,0.5250001894652714,0.02500000000420043,0.025004714762220746,0.02500000000638999,0.02500000001033055
sample_151,0.5062245459179833,0.07333576354199359,0.006251531447420349,0.18180569783843406,0.06875007830536618,0.006250000012767355,0.006250298986635749,0.07870101453520204,0.06618106939929846,0.006250000014899108
sample_152,0.05000000000180629,0.05000000000156235,0.050005667507257275,0.05000000000290357,0.5499943324724779,0.05000000000332751,0.050000000001581606,0.050000000002794254,0.05000000000240629,0.050000000003882855
sample_153,0.012504202804158891,0.012500000007792495,0.01250000000590863,0.13749892768216332,0.012500000014542628,0.012501434723164931,0.012500000007880931,0.6374968444534652,0.13749859028154504,0.012500000019377847
sample_154,0.033333333347432284,0.033333333345525726,0.3666661677125914,0.033333333356017694,0.03333333335609539,0.033333333359325826,0.03333333334568157,0.033333333355426466,0.03333333335212691,0.3666671654697767
sample_155,0.033333333353250554,0.03333333335057737,0.03333680002607423,0.0333333333653282,0.03333333336548082,0.3666635734974903,0.03333333335081346,0.36666629295497766,0.03333333335985215,0.03333333337615529
sample_156,0.03333333334507439,0.03333333334348743,0.03333333334102377,0.0333333333522122,0.033333333352278345,0.03333333335496845,0.033333333343634856,0.36666692273159096,0.36666641047715787,0.0333333333585717
